ProjectID,BuildingID,ReportingConstructionType,Borough,Block,Lot,BIN,HouseNumber,StreetName,CountedRentalUnits,CountedHomeownershipUnits,AllCountedUnits,TotalBuildingUnits,BaseSquareFootage,Stories,BBL,Community Board,Council District,Census Tract,NTA,Latitude,Longitude,Postcode
58555,927966,New Construction,,3867,9,3085955,653,HINSDALE STREET,2,1,3,3,1295,3,3038670009,5,42,1132,BK85,40.658719,-73.897301,11207
58555,965966,New Construction,,3692,15,3083600,273,MOTHER GASTON BOULEVARD,2,1,3,3,1174,3,3036920015,16,37,908,BK81,40.672633,-73.907615,11212
58555,965967,New Construction,,1447,20,3000000,2178,DEAN STREET,2,1,3,3,1196,3,3014470020,16,41,303,BK79,40.674988,-73.91545,11233
58555,969934,New Construction,,3692,12,3000000,281,MOTHER GASTON BOULEVARD,2,1,3,3,1394,3,3036920012,16,37,908,BK81,40.672443,-73.907565,11212
58555,974490,New Construction,,3692,19,3000000,38,CHRISTOPHER AVENUE,2,1,3,3,1162,3,3036920019,16,37,908,BK81,40.673055,-73.906728,11212
58555,974491,New Construction,,3865,46,3342538,666,SNEDIKER AVENUE,2,1,3,3,1295,3,3038650046,5,42,1132,BK85,40.658577,-73.898246,11207
58555,974492,New Construction,,3865,47,3000000,668,SNEDIKER AVENUE,2,1,3,3,1295,3,3038650047,5,42,1132,BK85,40.658544,-73.898235,11207
58562,100435,Preservation,,4641,16,2093522,3555,OLINVILLE AVENUE,0,143,143,143,167000,16,2046410016,12,12,378,BX44,40.879075,-73.867634,10467
58589,306817,Preservation,,1833,79,3052337,165,HANCOCK STREET,4,0,4,4,3800,3,3018330079,3,36,249,BK75,40.682652,-73.949083,11216
58589,306841,Preservation,,1838,22,3052670,188,HANCOCK STREET,5,0,5,5,4800,4,3018380022,3,36,249,BK75,40.682718,-73.948369,11216
58589,317083,Preservation,,1829,78,3052046,273,JEFFERSON AVENUE,3,0,3,3,3460,3,3018290078,3,36,267,BK75,40.68371,-73.946392,11216
58589,330821,Preservation,,1823,27,3051637,246,MADISON STREET,7,0,7,7,9486,4,3018230027,3,36,249,BK75,40.6849,-73.948937,11216
58589,330959,Preservation,,1826,18,3051785,442,MADISON STREET,6,0,6,6,5694,3,3018260018,3,36,277,BK35,40.685884,-73.940387,11221
58589,330961,Preservation,,1826,20,3051787,446,MADISON STREET,6,0,6,6,5694,3,3018260020,3,36,277,BK35,40.685898,-73.940261,11221
58589,330962,Preservation,,1826,21,3051788,448,MADISON STREET,6,0,6,6,5694,3,3018260021,3,36,277,BK35,40.685906,-73.9402,11221
58589,330965,Preservation,,1826,23,3051790,452,MADISON STREET,6,0,6,6,5265,3,3018260023,3,36,277,BK35,40.68592,-73.940077,11221
58589,330972,Preservation,,1826,29,3051795,464,MADISON STREET,6,0,6,6,5200,3,3018260029,3,36,277,BK35,40.685963,-73.939702,11221
58589,332727,Preservation,,1829,4,3051979,851,MARCY AVENUE,4,0,4,4,3293,3,3018290004,3,36,267,BK75,40.684216,-73.946972,11216
58589,338936,Preservation,,1820,32,3051494,396A,MONROE STREET,4,0,4,4,3236,3,3018200032,3,36,265,BK75,40.686363,-73.942727,11221
